Resource,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear New,CCGT New,Coal Old,Coal new,Solar,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,CCGT Old,Coal Old,Backup,Backup,Backup,Batteries,Batteries,Batteries,Batteries,Batteries
Zone,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1,3,5,1,2,3,4,5
t20,0.0,0.0,0.0,18.055450623357245,3932.458366561348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5166.34006061706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9148.256467891353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1462.6130868005132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.60249074999984,0.0,0.0,0.0,0.0,0.0,0.0,458.365889721554,7.279633582416118,35.635684756847404,44.46837216888594,60.93644652717411
t21,0.0,0.0,0.0,18.055450623357245,3933.015474742164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5166.413631690337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9148.386849314533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1463.0747920199744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.54288499999984,0.0,0.0,0.0,0.0,0.0,0.0,386.9463920152866,7.264467681545962,29.92435270475603,33.364696461002325,54.740741444236036
t22,0.0,0.0,0.0,18.055450623357245,3933.5725829229796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5166.487202763614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9148.517230737712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1463.5364972394357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.48327924999984,0.0,0.0,0.0,0.0,0.0,0.0,320.7129812172203,7.249333376297564,29.862010313262573,31.631843076931425,49.122781844488784
t23,0.0,0.0,0.0,18.055450623357245,3934.1296911037953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5166.560773836891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9148.647612160892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1463.998202458897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.42367349999984,0.0,0.0,0.0,0.0,0.0,0.0,261.2684344944063,7.234230600846722,29.799797801730612,31.565943414398433,43.9568982681239
t24,0.0,0.0,0.0,18.055450623357245,3934.686799284611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5166.634344910168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9148.777993584072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1464.4599076783581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.36406774999983,0.0,0.0,0.0,0.0,0.0,0.0,220.8835138740054,7.2191592895063685,29.73771489957694,31.500181042807085,38.898386135394055
t25,0.0,0.0,0.0,18.055450623357245,3935.2439074654267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5166.707915983445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9148.908375007251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1464.9216128978194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.30446199999983,0.0,0.0,0.0,0.0,0.0,0.0,202.6383161954061,7.204119376726283,29.67576133678206,31.434555676134632,33.764471879208905
t26,0.0,0.0,0.0,18.055450623357245,3935.8010156462424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5166.781487056722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9149.038756430431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1465.3833181172806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.24485624999983,0.0,0.0,0.0,0.0,0.0,0.0,189.50177894411263,7.189110797092811,29.613936843889018,31.369067028954206,28.72482318618954
t27,0.0,0.0,0.0,18.055450623357245,3936.358123827058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5166.855058129999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9149.16913785361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1465.8450233367419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.18525049999982,0.0,0.0,0.0,0.0,0.0,0.0,178.83202814944045,7.174133485328571,29.552241152002228,31.303714816433576,23.77628019924316
t28,0.0,0.0,0.0,18.055450623357245,3936.915232007874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5166.928629203276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9149.29951927679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1466.306728556203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.12564474999982,0.0,0.0,0.0,0.0,0.0,0.0,171.05739565059372,7.159187376292182,29.490673992786306,31.23849875433391,18.85760559021658
t29,0.0,0.0,0.0,18.055450623357245,3937.4723401886895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5167.002200276553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9149.42990069997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1466.7684337756643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.06603899999982,0.0,0.0,0.0,0.0,0.0,0.0,164.88748687548775,7.144272404977969,29.429235098464893,31.17341855900855,13.805153478674256
t30,0.0,0.0,0.0,18.055450623357245,3938.029448369505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5167.07577134983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9149.56028212315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1467.2301389951256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.00643324999982,0.0,0.0,0.0,0.0,0.0,0.0,146.2956947835907,7.1293885065156894,29.367924201819505,31.108473947401755,8.459175077684828
t31,0.0,0.0,0.0,18.055450623357245,3938.586556550321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5167.149342423107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9149.69066354633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1467.6918442145868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,248.9468274999998,0.0,0.0,0.0,0.0,0.0,0.0,99.79824298507778,7.114535616170245,29.306741036188356,31.043664637047495,4.109625822328515
t32,0.0,0.0,0.0,18.055450623357245,3939.1436647311366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5167.222913496384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9149.821044969509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1468.153549434048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,248.8872217499998,0.0,0.0,0.0,0.0,0.0,0.0,51.73700434006411,7.099713669341402,29.24568533546521,30.9789903460682,4.101064103235206
t33,0.0,0.0,0.0,18.055450623357245,3939.7007729119523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5167.296484569661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9149.951426392689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1468.6152546535093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,248.8276159999998,0.0,0.0,0.0,0.0,0.0,0.0,54.90879715829415,7.0849226015635125,29.18475683409822,30.914450793173557,9.458720123371801
